learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber,nodeRecommendationID
2,8,1,0.201,0.881,1,0.466888,6
2,8,5,0.201,0.881,1,0.821136,1
3,10,8,0.215,0.875,1,0.964233,6
4,13,1,0.229,0.865,1,0.149902,6
4,13,5,0.229,0.865,1,0.782776,5
4,13,6,0.229,0.865,1,0.172638,8
4,13,7,0.229,0.865,1,0.261108,2
5,9,2,0.22,0.871,1,0.416656,0
5,9,7,0.22,0.871,1,0.984589,4
6,19,0,0.22,0.863,1,0.183472,0
6,19,4,0.22,0.863,1,0.103699,5
6,19,6,0.22,0.863,1,0.695404,7
6,19,8,0.22,0.863,1,0.668121,3
6,19,9,0.22,0.863,1,0.041748,8
6,19,14,0.22,0.863,1,0.592804,2
6,19,17,0.22,0.863,1,0.411591,4
7,8,1,0.209,0.866,1,0.741943,4
7,8,2,0.209,0.866,1,0.542633,7
7,8,7,0.209,0.866,1,0.570404,6
8,10,1,0.223,0.887,1,0.242249,2
8,10,5,0.223,0.887,1,0.424469,3
8,10,9,0.223,0.887,1,0.884216,1
9,13,0,0.199,0.871,1,0.641541,0
9,13,1,0.199,0.871,1,0.221252,3
9,13,4,0.199,0.871,1,0.434357,1
10,7,5,0.2,0.876,1,0.890167,6
